,index,filename,topic,department,province
830,974,2018年贵阳市养老服务机构_2019-03-08_18_08_54_2.xls,社会救助及保障,社会福利机构,贵州
846,992,2018年青岛市教师资格第一批次认定数据信息_0.csv,教育人员,教育机构,山东
847,993,2018年青岛市教师资格第二批次认定数据信息_0.csv,教育人员,教育机构,山东
854,1000,2018开发区在营企业_0.csv,开发区,市场监管部门,山东
885,1033,2019宝山区住房保障和房屋管理局对外服务窗口一览表（办事机构） (1).xlsx,行政,住房城乡建设部门,上海
887,1036,2019宝山区公厕信息.xls,城乡环卫,基层管理机构,上海
893,1042,2019小学划片范围一览表（公示、报普教处）.xls,教育事业,教育及体育部门,四川
1005,1157,2019年9月三亚市各级各类学校信息表.xls,教育事业,教育机构,海南
1009,1161,2019年三亚市海棠区建制村（居）名录.xls,民生服务,基层管理机构,海南
1018,1172,2019年人社局政务服务中心收文记录_0.csv,行政,人力资源社会保障部门,山东
1025,1180,2019年医疗机构不良执业行为记分登记信息_0.csv,医疗卫生,医院及社区卫生服务机构,四川
1033,1188,2019年城镇新增就业人员信息.xls,就业失业,教育机构,广西
1035,1190,2019年外资娱乐场所证照数据.xls,娱乐,城市管理行政执法及审批部门,天津
1041,1196,2019年宝山区社区图书馆.xlsx,出版物及相关单位,文体活动机构,上海
1042,1197,2019年崇州市优秀教师公示名单.xlsx,教育人员,教育机构,四川
1047,1203,2019年常州市体育局下属事业单位公开招聘教练员拟聘用人员公示.xlsx,体育,教育及体育部门,江苏
1048,1204,2019年常州市卫生健康委员会直属事业单位公开招聘高层次、紧缺专业人才（第一批）拟录用人员名单（进编）（二）.xlsx,医疗卫生,卫生健康委员会,江苏
1049,1207,2019年常州市文广旅局下属事业单位公开招聘 工作人员拟聘用人员公示（一）.xlsx,行政,文化广播电视和旅游部门,江苏
1050,1208,2019年常州市武进区事业单位公开招聘工作人员拟聘用公示.xlsx,行政,教育机构,江苏
1051,1209,2019年常州市面向大学生村官定向招聘事业单位工作人员入围面试人员名单公告.xlsx,行政,教育机构,江苏
1056,1214,2019年度博物馆与社会文物处陈列展览备案情况.xls,文化,文体活动机构,天津
1057,1216,2019年度天津市群众体育赛事活动计划.xlsx,体育,教育及体育部门,天津
1059,1219,2019年度民办职业培训学校情况汇总表.xls,教育事业,教育机构,四川
1060,1221,2019年度规范旅游市场处罚情况.xls,旅游,文化广播电视和旅游部门,云南
1063,1225,2019年彭州市公共数据开放清单汇总.xlsx,行政,城市管理行政执法及审批部门,四川
1067,1229,2019年成都市宗教团体信息.xlsx,宗教事务,民族宗教部门,四川
1068,1230,2019年成都市宗教活动场所信息.xls,宗教事务,民族宗教部门,四川
1072,1235,2019年批复预算表_2019-10-17_21_55_58_2.xlsx,财政预算,财政部门,贵州
1078,1242,2019年民营医疗机构(医院）登记表.xlsx,医疗卫生,医院及社区卫生服务机构,四川
1079,1243,2019年法律服务进社区“社区法律顾问”定点联系信息_0.csv,法律,社会援助救助机构,四川
1081,1247,2019年清镇市综合行政执法局市政处管养主干道设施统计表_2020-03-25_09_41_10_1.xls,道路交通及管理,城市管理行政执法及审批部门,贵州
1082,1248,2019年清镇市综合行政执法局市政处管养主干道设施统计表_2021-10-15_14_34_46_5.xls,道路交通及管理,城市管理行政执法及审批部门,贵州
1092,1259,2019年蒲江县校外培训机构白名单（第二批）.xlsx,教育事业,教育机构,四川
1093,1260,2019年蒲江县校外培训机构联系信息表.xlsx,教育事业,教育机构,四川
1095,1262,2019年行政处罚信息.xls,行政,城市管理行政执法及审批部门,天津
1111,1279,2019年青羊区民办学校小升初随机派位结果.xls,教育事业,教育机构,四川
1112,1280,2019年食品药品行政处罚案件信息公开_0.csv,医疗卫生,市场监管部门,四川
1118,1289,2019郫都区民办职业技能学校.xlsx,教育事业,教育机构,四川
1119,1290,2019非物质文化遗产保护名录 (2).xlsx,文化,文体活动机构,上海
1143,1314,202004宝山区应急管理局行政处罚.xlsx,行政,应急部门,上海
1163,1338,2020年8月单位或个人违反公共场所卫生管理规定的处罚_.xls,医疗卫生,卫生健康委员会,广西
1166,1341,2020年勘查、开采矿藏和各项建设工程占用或者征收、征用林地审核.xlsx,矿产资源及开发,林草部门,广西
1168,1343,2020年常州市劳动人事争议仲裁委员会开庭公告表（5月）.xlsx,法律,司法部门,江苏
1169,1344,2020年常州市部分普通高中自主招生计划表.xlsx,教育事业,教育机构,江苏
1170,1345,2020年常州市部分职业学校自主招生计划表.xlsx,教育事业,教育机构,江苏
1171,1346,2020年常州市高级中等学校自主招生工作时间安排表.xlsx,教育事业,教育机构,江苏
1172,1347,2020年度无锡市审计局三公经费预算_16800611338067446821.csv,财政预算,审计部门,江苏
1173,1348,2020年无锡市农业农村局本级部门整体支出预算绩效目标公开_12488282306657714113.csv,财政预算,农业农村部门,江苏
1180,1356,2020年田东县林业局林业行政检查信息.xls,行政,林草部门,广西
1208,1392,2医保局定点医院2019.04最新.xls,医疗卫生,医保部门,四川
1209,1393,3-2特殊教育.xlsx,教育事业,教育机构,四川
1210,1394,3-3.1特色学校-新优质学校（删掉图标，再加入名单滚动）.xlsx,教育事业,教育机构,四川
1211,1395,3-3.2下钻：全市省级示范性高中学校.xls,教育事业,教育机构,四川
1212,1396,3-5-1++2018年基础教育名校集团.xlsx,教育事业,教育机构,四川
1214,1398,3医保局定点诊所201907.xlsx,医疗卫生,医院及社区卫生服务机构,四川
1219,1404,31 黄浦区中小学幼儿园信息登记表.xlsx,教育事业,教育机构,上海
1221,1406,32 黄浦区公办幼儿园招生地段信息.xlsx,教育事业,教育机构,上海
1222,1407,33 黄浦区公办小学办学基本情况公示表（含对口范围）.xlsx,教育事业,教育机构,上海
1226,1411,37.基层卫生服务机构信息 (1).xls,医疗卫生,医院及社区卫生服务机构,四川
1227,1412,38 黄浦区教育科研获奖成果.xlsx,科技活动项目,教育及体育部门,上海
1231,1416,40.预防接种门诊地址.xls,医疗卫生,医院及社区卫生服务机构,四川
1232,1417,43 黄浦区各级养老机构一览表.xlsx,社会救助及保障,社会福利机构,上海
1237,1423,5-13_涉企信息_工程竣工验收备案信息.xls,建筑业,住房城乡建设部门,广东
1238,1424,5-13_涉企信息_工程竣工验收备案信息_1.xls,建筑业,住房城乡建设部门,广东
1239,1425,5-13_涉企信息_工程竣工验收备案信息_10.xls,建筑业,住房城乡建设部门,广东
1240,1426,5-13_涉企信息_工程竣工验收备案信息_100.xls,建筑业,住房城乡建设部门,广东
1241,1427,5-13_涉企信息_工程竣工验收备案信息_101.xls,建筑业,住房城乡建设部门,广东
1242,1428,5-13_涉企信息_工程竣工验收备案信息_102.xls,建筑业,住房城乡建设部门,广东
1243,1429,5-13_涉企信息_工程竣工验收备案信息_103.xls,建筑业,住房城乡建设部门,广东
1244,1430,5-13_涉企信息_工程竣工验收备案信息_104.xls,建筑业,住房城乡建设部门,广东
1245,1431,5-13_涉企信息_工程竣工验收备案信息_105.xls,建筑业,住房城乡建设部门,广东
1246,1432,5-13_涉企信息_工程竣工验收备案信息_106.xls,建筑业,住房城乡建设部门,广东
1247,1433,5-13_涉企信息_工程竣工验收备案信息_107.xls,建筑业,住房城乡建设部门,广东
1248,1434,5-13_涉企信息_工程竣工验收备案信息_108.xls,建筑业,住房城乡建设部门,广东
1249,1435,5-13_涉企信息_工程竣工验收备案信息_109.xls,建筑业,住房城乡建设部门,广东
1250,1436,5-13_涉企信息_工程竣工验收备案信息_11.xls,建筑业,住房城乡建设部门,广东
1251,1437,5-13_涉企信息_工程竣工验收备案信息_110.xls,建筑业,住房城乡建设部门,广东
1252,1438,5-13_涉企信息_工程竣工验收备案信息_111.xls,建筑业,住房城乡建设部门,广东
1253,1439,5-13_涉企信息_工程竣工验收备案信息_112.xls,建筑业,住房城乡建设部门,广东
1254,1440,5-13_涉企信息_工程竣工验收备案信息_113.xls,建筑业,住房城乡建设部门,广东
1255,1441,5-13_涉企信息_工程竣工验收备案信息_114.xls,建筑业,住房城乡建设部门,广东
1256,1442,5-13_涉企信息_工程竣工验收备案信息_115.xls,建筑业,住房城乡建设部门,广东
1257,1443,5-13_涉企信息_工程竣工验收备案信息_116.xls,建筑业,住房城乡建设部门,广东
1258,1444,5-13_涉企信息_工程竣工验收备案信息_117.xls,建筑业,住房城乡建设部门,广东
1259,1445,5-13_涉企信息_工程竣工验收备案信息_118.xls,建筑业,住房城乡建设部门,广东
1260,1446,5-13_涉企信息_工程竣工验收备案信息_119.xls,建筑业,住房城乡建设部门,广东
1261,1447,5-13_涉企信息_工程竣工验收备案信息_12.xls,建筑业,住房城乡建设部门,广东
1262,1448,5-13_涉企信息_工程竣工验收备案信息_120.xls,建筑业,住房城乡建设部门,广东
1263,1449,5-13_涉企信息_工程竣工验收备案信息_121.xls,建筑业,住房城乡建设部门,广东
1264,1450,5-13_涉企信息_工程竣工验收备案信息_122.xls,建筑业,住房城乡建设部门,广东
1265,1451,5-13_涉企信息_工程竣工验收备案信息_123.xls,建筑业,住房城乡建设部门,广东
1266,1452,5-13_涉企信息_工程竣工验收备案信息_124.xls,建筑业,住房城乡建设部门,广东
1267,1453,5-13_涉企信息_工程竣工验收备案信息_125.xls,建筑业,住房城乡建设部门,广东
1268,1454,5-13_涉企信息_工程竣工验收备案信息_126.xls,建筑业,住房城乡建设部门,广东
1269,1455,5-13_涉企信息_工程竣工验收备案信息_127.xls,建筑业,住房城乡建设部门,广东
1270,1456,5-13_涉企信息_工程竣工验收备案信息_128.xls,建筑业,住房城乡建设部门,广东
1271,1457,5-13_涉企信息_工程竣工验收备案信息_129.xls,建筑业,住房城乡建设部门,广东
1272,1458,5-13_涉企信息_工程竣工验收备案信息_13.xls,建筑业,住房城乡建设部门,广东
1273,1459,5-13_涉企信息_工程竣工验收备案信息_130.xls,建筑业,住房城乡建设部门,广东
1274,1460,5-13_涉企信息_工程竣工验收备案信息_131.xls,建筑业,住房城乡建设部门,广东
1275,1461,5-13_涉企信息_工程竣工验收备案信息_132.xls,建筑业,住房城乡建设部门,广东
1276,1462,5-13_涉企信息_工程竣工验收备案信息_133.xls,建筑业,住房城乡建设部门,广东
1277,1463,5-13_涉企信息_工程竣工验收备案信息_134.xls,建筑业,住房城乡建设部门,广东
1278,1464,5-13_涉企信息_工程竣工验收备案信息_135.xls,建筑业,住房城乡建设部门,广东
1279,1465,5-13_涉企信息_工程竣工验收备案信息_136.xls,建筑业,住房城乡建设部门,广东
1280,1466,5-13_涉企信息_工程竣工验收备案信息_137.xls,建筑业,住房城乡建设部门,广东
1281,1467,5-13_涉企信息_工程竣工验收备案信息_138.xls,建筑业,住房城乡建设部门,广东
1282,1468,5-13_涉企信息_工程竣工验收备案信息_139.xls,建筑业,住房城乡建设部门,广东
1283,1469,5-13_涉企信息_工程竣工验收备案信息_14.xls,建筑业,住房城乡建设部门,广东
1284,1470,5-13_涉企信息_工程竣工验收备案信息_140.xls,建筑业,住房城乡建设部门,广东
1285,1471,5-13_涉企信息_工程竣工验收备案信息_141.xls,建筑业,住房城乡建设部门,广东
1286,1472,5-13_涉企信息_工程竣工验收备案信息_142.xls,建筑业,住房城乡建设部门,广东
1287,1473,5-13_涉企信息_工程竣工验收备案信息_143.xls,建筑业,住房城乡建设部门,广东
1288,1474,5-13_涉企信息_工程竣工验收备案信息_144.xls,建筑业,住房城乡建设部门,广东
1289,1475,5-13_涉企信息_工程竣工验收备案信息_145.xls,建筑业,住房城乡建设部门,广东
1290,1476,5-13_涉企信息_工程竣工验收备案信息_146.xls,建筑业,住房城乡建设部门,广东
1291,1477,5-13_涉企信息_工程竣工验收备案信息_147.xls,建筑业,住房城乡建设部门,广东
1292,1478,5-13_涉企信息_工程竣工验收备案信息_148.xls,建筑业,住房城乡建设部门,广东
1293,1479,5-13_涉企信息_工程竣工验收备案信息_149.xls,建筑业,住房城乡建设部门,广东
1294,1480,5-13_涉企信息_工程竣工验收备案信息_15.xls,建筑业,住房城乡建设部门,广东
1295,1481,5-13_涉企信息_工程竣工验收备案信息_150.xls,建筑业,住房城乡建设部门,广东
1296,1482,5-13_涉企信息_工程竣工验收备案信息_151.xls,建筑业,住房城乡建设部门,广东
1297,1483,5-13_涉企信息_工程竣工验收备案信息_152.xls,建筑业,住房城乡建设部门,广东
1298,1484,5-13_涉企信息_工程竣工验收备案信息_153.xls,建筑业,住房城乡建设部门,广东
1299,1485,5-13_涉企信息_工程竣工验收备案信息_154.xls,建筑业,住房城乡建设部门,广东
1300,1486,5-13_涉企信息_工程竣工验收备案信息_155.xls,建筑业,住房城乡建设部门,广东
1301,1487,5-13_涉企信息_工程竣工验收备案信息_156.xls,建筑业,住房城乡建设部门,广东
1302,1488,5-13_涉企信息_工程竣工验收备案信息_157.xls,建筑业,住房城乡建设部门,广东
1303,1489,5-13_涉企信息_工程竣工验收备案信息_158.xls,建筑业,住房城乡建设部门,广东
1304,1490,5-13_涉企信息_工程竣工验收备案信息_159.xls,建筑业,住房城乡建设部门,广东
1305,1491,5-13_涉企信息_工程竣工验收备案信息_16.xls,建筑业,住房城乡建设部门,广东
1306,1492,5-13_涉企信息_工程竣工验收备案信息_160.xls,建筑业,住房城乡建设部门,广东
1307,1493,5-13_涉企信息_工程竣工验收备案信息_161.xls,建筑业,住房城乡建设部门,广东
1308,1494,5-13_涉企信息_工程竣工验收备案信息_162.xls,建筑业,住房城乡建设部门,广东
1309,1495,5-13_涉企信息_工程竣工验收备案信息_163.xls,建筑业,住房城乡建设部门,广东
1310,1496,5-13_涉企信息_工程竣工验收备案信息_164.xls,建筑业,住房城乡建设部门,广东
1311,1497,5-13_涉企信息_工程竣工验收备案信息_165.xls,建筑业,住房城乡建设部门,广东
1312,1498,5-13_涉企信息_工程竣工验收备案信息_166.xls,建筑业,住房城乡建设部门,广东
1313,1499,5-13_涉企信息_工程竣工验收备案信息_167.xls,建筑业,住房城乡建设部门,广东
1314,1500,5-13_涉企信息_工程竣工验收备案信息_168.xls,建筑业,住房城乡建设部门,广东
1315,1501,5-13_涉企信息_工程竣工验收备案信息_169.xls,建筑业,住房城乡建设部门,广东
1316,1502,5-13_涉企信息_工程竣工验收备案信息_17.xls,建筑业,住房城乡建设部门,广东
1317,1503,5-13_涉企信息_工程竣工验收备案信息_170.xls,建筑业,住房城乡建设部门,广东
1318,1504,5-13_涉企信息_工程竣工验收备案信息_171.xls,建筑业,住房城乡建设部门,广东
1319,1505,5-13_涉企信息_工程竣工验收备案信息_172.xls,建筑业,住房城乡建设部门,广东
1320,1506,5-13_涉企信息_工程竣工验收备案信息_173.xls,建筑业,住房城乡建设部门,广东
1321,1507,5-13_涉企信息_工程竣工验收备案信息_174.xls,建筑业,住房城乡建设部门,广东
1322,1508,5-13_涉企信息_工程竣工验收备案信息_175.xls,建筑业,住房城乡建设部门,广东
1323,1509,5-13_涉企信息_工程竣工验收备案信息_176.xls,建筑业,住房城乡建设部门,广东
1324,1510,5-13_涉企信息_工程竣工验收备案信息_177.xls,建筑业,住房城乡建设部门,广东
1325,1511,5-13_涉企信息_工程竣工验收备案信息_178.xls,建筑业,住房城乡建设部门,广东
1326,1512,5-13_涉企信息_工程竣工验收备案信息_179.xls,建筑业,住房城乡建设部门,广东
1327,1513,5-13_涉企信息_工程竣工验收备案信息_18.xls,建筑业,住房城乡建设部门,广东
1328,1514,5-13_涉企信息_工程竣工验收备案信息_180.xls,建筑业,住房城乡建设部门,广东
1329,1515,5-13_涉企信息_工程竣工验收备案信息_181.xls,建筑业,住房城乡建设部门,广东
1330,1516,5-13_涉企信息_工程竣工验收备案信息_182.xls,建筑业,住房城乡建设部门,广东
1331,1517,5-13_涉企信息_工程竣工验收备案信息_183.xls,建筑业,住房城乡建设部门,广东
1332,1518,5-13_涉企信息_工程竣工验收备案信息_184.xls,建筑业,住房城乡建设部门,广东
1333,1519,5-13_涉企信息_工程竣工验收备案信息_185.xls,建筑业,住房城乡建设部门,广东
1334,1520,5-13_涉企信息_工程竣工验收备案信息_186.xls,建筑业,住房城乡建设部门,广东
1335,1521,5-13_涉企信息_工程竣工验收备案信息_187.xls,建筑业,住房城乡建设部门,广东
1336,1522,5-13_涉企信息_工程竣工验收备案信息_188.xls,建筑业,住房城乡建设部门,广东
1337,1523,5-13_涉企信息_工程竣工验收备案信息_189.xls,建筑业,住房城乡建设部门,广东
1338,1524,5-13_涉企信息_工程竣工验收备案信息_19.xls,建筑业,住房城乡建设部门,广东
1339,1525,5-13_涉企信息_工程竣工验收备案信息_190.xls,建筑业,住房城乡建设部门,广东
1340,1526,5-13_涉企信息_工程竣工验收备案信息_191.xls,建筑业,住房城乡建设部门,广东
1341,1527,5-13_涉企信息_工程竣工验收备案信息_192.xls,建筑业,住房城乡建设部门,广东
1342,1528,5-13_涉企信息_工程竣工验收备案信息_193.xls,建筑业,住房城乡建设部门,广东
1343,1529,5-13_涉企信息_工程竣工验收备案信息_194.xls,建筑业,住房城乡建设部门,广东
1344,1530,5-13_涉企信息_工程竣工验收备案信息_195.xls,建筑业,住房城乡建设部门,广东
1345,1531,5-13_涉企信息_工程竣工验收备案信息_196.xls,建筑业,住房城乡建设部门,广东
1346,1532,5-13_涉企信息_工程竣工验收备案信息_197.xls,建筑业,住房城乡建设部门,广东
1347,1533,5-13_涉企信息_工程竣工验收备案信息_198.xls,建筑业,住房城乡建设部门,广东
1348,1534,5-13_涉企信息_工程竣工验收备案信息_199.xls,建筑业,住房城乡建设部门,广东
1349,1535,5-13_涉企信息_工程竣工验收备案信息_2.xls,建筑业,住房城乡建设部门,广东
1350,1536,5-13_涉企信息_工程竣工验收备案信息_20.xls,建筑业,住房城乡建设部门,广东
1351,1537,5-13_涉企信息_工程竣工验收备案信息_200.xls,建筑业,住房城乡建设部门,广东
1352,1538,5-13_涉企信息_工程竣工验收备案信息_201.xls,建筑业,住房城乡建设部门,广东
