filename,topic,department,province,y1,y2,y3
市司法局行政许可事项实施清单_13186908602147703740.csv,司法,司法部门,江苏,32,76,115
推送市交易中心信息－限制投标企业_383.xls,企业信息,水利、水务部门,广东,4,90,120
推送市交易中心信息－人员锁定_253.xls,行政,水利、水务部门,广东,5,90,120
观山湖区区基层法律服务所名录_2020-03-27_14_14_39_5.xlsx,法律,社会援助救助机构,贵州,3,96,118
企业劳动保障守法诚信等级_17.csv,法律,人力资源社会保障部门,浙江,3,93,128
潮州市公安局交通违法监控抓拍位置信息_1568882403202263.xls,道路交通及管理,公安部门,广东,30,108,120
17-13_60_2016.xlsx,旅游,文化广播电视和旅游部门,广东,29,95,120
建设用地规划许可证20200102.xls,建筑业,生态环境及自然资源部门,江苏,1,75,115
青岛市中外合作办学项目课程教材清单及说明备案_0.csv,教育事业,教育机构,山东,8,85,117
渔业船舶登记_99.xls,农业资料,农业农村部门,广东,52,91,120
医疗服务投诉服务机构联系电话_2020-03-24_10_42_08_4.xls,医疗卫生,卫生健康委员会,贵州,0,79,118
山东省高校学生转学信息_0.csv,教育人员,教育机构,山东,9,85,117
5-18__涉企信息_企业不良行为信息_32.xls,企业信息,住房城乡建设部门,广东,4,74,120
推送市交易中心信息－限制投标企业_122.xls,企业信息,水利、水务部门,广东,4,90,120
预防接种门诊信息 (2).xlsx,医疗卫生,医院及社区卫生服务机构,浙江,0,73,128
推送市交易中心信息－专业分_366.xls,企业信息,水利、水务部门,广东,4,90,120
推送市交易中心信息－专业分_421.xls,企业信息,水利、水务部门,广东,4,90,120
5-18__涉企信息_企业不良行为信息_198.xls,企业信息,住房城乡建设部门,广东,4,74,120
芜湖市退役军人事务局 惠农补贴政策清单.xls,农业生产,退役军人部门,山东,40,112,117
民办学校审批的相关信息_0.xls,教育事业,教育机构,山东,8,85,117
对宗教团体成立、变更、注销前审批的行政处罚.xls,宗教事务,民族宗教部门,湖南,13,87,122
青岛市动物诊疗机构_0.csv,医疗卫生,医院及社区卫生服务机构,山东,0,73,117
贵阳市城镇新增就业人数_2021-10-13_15_47_22_25.xlsx,就业失业,人力资源社会保障部门,贵州,25,93,118
各市基层工会劳动法律监督工作情况（件）.csv,法律,监察部门,河南,3,104,133
20-107_9.xls,综合,教育及体育部门,内蒙古,19,86,141
证件变更信息_107.xls,行政,药监部门,广东,5,84,120
证件变更信息_182.xls,行政,市场监管部门,广东,5,77,120
建设项目选址意见书20180913.xls,建筑业,住房城乡建设部门,江苏,1,74,115
机动车临时牌证_0.xls,道路交通及管理,公安部门,山东,30,108,117
建设项目噪声、固体废物污染防治设施验收（新双公示）（涉企）_67.xls,污染治理,生态环境及自然资源部门,广东,36,75,120
修文县工商局部门预算及“三公”经费预算公开表_2021-04-07_13_17_39_9.xls,财政预算,市场监管部门,贵州,11,77,118
从事城市生活垃圾经营性清扫、收集、运输服务审批信息.xls,城乡环卫,城市管理行政执法及审批部门,广东,6,81,120
开发区烟台名班主任（人选）信息_0.xls,开发区,教育机构,山东,24,85,117
5-18__涉企信息_企业不良行为信息_195.xls,企业信息,住房城乡建设部门,广东,4,74,120
清镇市乡镇社区纪委一览表_2021-10-12_16_12_49_6.xlsx,行政,监察部门,贵州,5,104,118
占用、挖掘公路审批_8.xls,道路交通及管理,交通运输部门,广东,30,102,120
烟台市全省职业院校技能大赛获奖名单_0.xls,教育人员,教育机构,山东,9,85,117
证件变更信息_227.xls,行政,市场监管部门,广东,5,77,120
济南市轨道交通站点_0.csv,道路交通及管理,交通运输部门,山东,30,102,117
贵阳市人民政府审计局部门预算及“三公”经费预算信息_2017-04-07_15_45_01_1.xls,财政预算,审计部门,贵州,11,88,118
5-18__涉企信息_企业不良行为信息_143.xls,企业信息,住房城乡建设部门,广东,4,74,120
驾培企业质量信誉考核结果_0.csv,道路交通及管理,教育机构,山东,30,85,117
李沧区老龄办高龄补贴发放信息_2.xls,社会救助及保障,社会福利机构,山东,23,92,117
5-6_涉企信息_建筑工程施工许可信息_199.xls,建筑业,住房城乡建设部门,广东,1,74,120
建设用地规划许可证20190627.xls,建筑业,生态环境及自然资源部门,江苏,1,75,115
5-15__涉企信息_企业良好行为信息_266.xls,企业信息,住房城乡建设部门,广东,4,74,120
从化区江埔街社区居委一览表.csv,民生服务,基层管理机构,广东,7,83,120
交通行政处罚案件信息_5.xls,道路交通及管理,交通运输部门,广东,30,102,120
推送市交易中心信息－专业分_360.xls,企业信息,水利、水务部门,广东,4,90,120
危险化学品经营许可证审批-行政许可变更信息_131.xls,公共安全,应急部门,广东,37,97,120
证件变更信息_246.xls,行政,市场监管部门,广东,5,77,120
乌当区公益性文化馆信息_2019-10-31_11_09_19_2.xlsx,文化,文体活动机构,贵州,28,94,118
出版物经营许可证信息_29.xls,出版物及相关单位,文化广播电视和旅游部门,广东,27,95,120
工业产品生产许可证核发质监局_1595233780046.xls,工业,市场监管部门,广东,31,77,120
5-6_涉企信息_建筑工程施工许可信息_84.xls,建筑业,住房城乡建设部门,广东,1,74,120
建筑工程施工许可证（燃气类、供热类）核发信息_50.xls,城市供给,城市管理行政执法及审批部门,广东,16,81,120
22-8_21.xls,农业生产,统计部门,湖南,40,107,122
危险化学品经营许可证审批-行政许可变更信息_89.xls,公共安全,应急部门,广东,37,97,120
道路运输证版式文件_69.csv,道路交通及管理,交通运输部门,浙江,30,102,128
2209_11.xls,工业,文化广播电视和旅游部门,天津,31,95,123
推送市交易中心信息－人员锁定_297.xls,行政,水利、水务部门,广东,5,90,120
枣庄市气象灾害预警_0.xls,公共安全,气象部门,山东,37,113,117
5-18__涉企信息_企业不良行为信息_340.xls,企业信息,住房城乡建设部门,广东,4,74,120
5-18__涉企信息_企业不良行为信息_1016.xls,企业信息,住房城乡建设部门,广东,4,74,120
20-025_9.xls,综合,教育及体育部门,内蒙古,19,86,141
高密市“微学区”教育联盟名录_0.csv,教育事业,教育机构,山东,8,85,117
5-15__涉企信息_企业良好行为信息.xls,企业信息,住房城乡建设部门,广东,4,74,120
非公募基金会成立、变更、注销登记信息_67.xls,社会组织,民政部门,广东,53,89,120
5-6_涉企信息_建筑工程施工许可信息_23.xls,建筑业,住房城乡建设部门,广东,1,74,120
20-042_9.xls,综合,教育及体育部门,内蒙古,19,86,141
11-12_14.xls,城市供给,水利、水务部门,天津,16,90,123
任城区教育体育局_举办实施学历教育、学前教育、自学考试助学及其他文化教育的民办学校筹设_(开放)_0.csv,教育事业,教育及体育部门,山东,8,86,117
CH03-10_111.xls,人口状况,公安部门,北京,58,108,131
出版物经营许可证信息_55.xls,出版物及相关单位,文化广播电视和旅游部门,广东,27,95,120
长岛县人社局深化“一次办好”改革领导小组成员名单_0.xls,行政,人力资源社会保障部门,山东,5,93,117
开阳县二级医院信息_2020-04-01_10_00_57_6.xls,医疗卫生,医院及社区卫生服务机构,贵州,0,73,118
5-18__涉企信息_企业不良行为信息_273.xls,企业信息,住房城乡建设部门,广东,4,74,120
泰山区城管局户外广告设施设置申请_0.xls,城市建设,城市管理行政执法及审批部门,山东,46,81,117
工商行政许可公示信息_127.xls,行政,市场监管部门,广东,5,77,120
贵阳市全市性民办非企业单位成立登记信息_2019-03-15_10_50_16_9.xls,非公经济,民政部门,贵州,49,89,118
市城管局公共服务事项实施清单_1474798638348892318.csv,行政,城市管理行政执法及审批部门,江苏,5,81,115
清税清册信息_24.csv,财政税收,税务部门,浙江,12,78,128
金堂县_卫生健康局_医疗机构信息.xlsx,医疗卫生,卫生健康委员会,四川,0,79,116
企业制定的工资支付制度违反法律、法规、规章规定的处罚（责令改正、警告，无处罚条款）.csv,行政,人力资源社会保障部门,浙江,5,93,128
危险化学品经营许可证审批-行政许可变更信息_101.xls,公共安全,应急部门,广东,37,97,120
5-18__涉企信息_企业不良行为信息_46.xls,企业信息,住房城乡建设部门,广东,4,74,120
5-13_涉企信息_工程竣工验收备案信息_141.xls,建筑业,住房城乡建设部门,广东,1,74,120
泰山区食药局干部队伍培训_0.xls,行政,药监部门,山东,5,84,117
推送市交易中心信息－信用总分_275.xls,企业信息,水利、水务部门,广东,4,90,120
劳务派遣许可变更信息_37.xls,就业失业,人力资源社会保障部门,广东,25,93,120
ch18-12_110.xls,教育人员,教育及体育部门,北京,9,86,131
烟台开发区初中在校少数民族学生统计_0.xls,开发区,教育机构,山东,24,85,117
交通行政处罚案件信息_45.xls,道路交通及管理,交通运输部门,广东,30,102,120
龙湾区图书馆图书信息_42.csv,出版物及相关单位,文体活动机构,浙江,27,94,128
建设项目环境保护设施竣工验收（非辐射类）_0.xls,自然保护,生态环境及自然资源部门,山东,2,75,117
洞头区图书馆图书信息_3.csv,出版物及相关单位,文体活动机构,浙江,27,94,128
证件变更信息_237.xls,行政,市场监管部门,广东,5,77,120
推送市交易中心信息－人员锁定_286.xls,行政,水利、水务部门,广东,5,90,120
济南市省级文物保护单位名录_0.csv,文化,文体活动机构,山东,28,94,117
工程建设项目招标代理机构资格初审（变更）_0.xls,建筑业,住房城乡建设部门,山东,1,74,117
B18_9_74.xls,医疗卫生,医院及社区卫生服务机构,吉林,0,73,137
民政局信息公开列表_0.xls,行政,民政部门,山东,5,89,117
推送市交易中心信息－人员锁定_37.xls,行政,水利、水务部门,广东,5,90,120
5-18__涉企信息_企业不良行为信息_409.xls,企业信息,住房城乡建设部门,广东,4,74,120
道路运输经营许可证版式文件_41.csv,道路交通及管理,交通运输部门,浙江,30,102,128
任城区工商行政管理局_个体工商户注册登记_1.xls,非公经济,市场监管部门,山东,49,77,117
10-21_60_2019.xlsx,居民生活,统计部门,广东,69,107,120
20-073_9.xls,综合,教育及体育部门,内蒙古,19,86,141
公共场所（除公园、体育场馆、公共交通工具外）卫生许可_60.xls,医疗卫生,卫生健康委员会,广东,0,79,120
市地方金融监管局行政许可事项实施清单_17794952028836556735.csv,金融,财政部门,江苏,50,82,115
5-13_涉企信息_工程竣工验收备案信息_6.xls,建筑业,住房城乡建设部门,广东,1,74,120
燃气经营许可证（变更）信息_3.xls,城市供给,城市管理行政执法及审批部门,广东,16,81,120
19-15_14.xls,社会救助及保障,民政部门,天津,23,89,123
（双公示）建设工程规划类许可证核发（建筑类）信息_1.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
佳木斯市结核病定点医院信息_2020-02-19 04-00-00.csv,医疗卫生,医院及社区卫生服务机构,黑龙江,0,73,134
云岩区法律援助中心月报表_2021-10-11_12_17_34_18.xls,法律,社会援助救助机构,贵州,3,96,118
16-38_260.xlsx,教育事业,文体活动机构,江西,8,94,140
任城区教育体育局_举办实施学历教育、学前教育、自学考试助学及其他文化教育的民办学校变更_(开放)_0.csv,教育事业,教育及体育部门,山东,8,86,117
证件变更信息_137.xls,行政,市场监管部门,广东,5,77,120
建设工程规划条件核实合格证_102.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
执业兽医师注册_8.xls,医疗卫生,农业农村部门,广东,0,91,120
道路运输经营许可证版式文件_9.csv,道路交通及管理,交通运输部门,浙江,30,102,128
日照市地震前兆监测站_0.xls,公共安全,应急部门,山东,37,97,117
特种设备作业人员考核_145.xls,特种作业,市场监管部门,广东,63,77,120
雷电防护装置设计审核（新）_44.xls,公共安全,气象部门,广东,37,113,120
5-15__涉企信息_企业良好行为信息_421.xls,企业信息,住房城乡建设部门,广东,4,74,120
济宁市兖州区林业局兖州区林业局机关发文信息_0.xls,行政,林草部门,山东,5,80,117
岚山区医疗机构注册登记信息_0.csv,医疗卫生,医院及社区卫生服务机构,山东,0,73,117
出版物经营许可证信息_67.xls,出版物及相关单位,文化广播电视和旅游部门,广东,27,95,120
建设项目环境影响评价文件审批（新双公示）（涉企）_4.xls,自然保护,生态环境及自然资源部门,广东,2,75,120
人民防空相关行政执法职责_0.csv,公共安全,人防部门,山东,37,100,117
鹿城区图书馆图书信息_2.csv,出版物及相关单位,文体活动机构,浙江,27,94,128
消防行政许可服务中心.csv,公共安全,消防机构,天津,37,103,123
兖州区食品药品监督管理局_食品经营许可新办_(开放)_0.xls,批发零售住宿餐饮业,药监部门,山东,54,84,117
5-18__涉企信息_企业不良行为信息_237.xls,企业信息,住房城乡建设部门,广东,4,74,120
推送市交易中心信息－专业分_268.xls,企业信息,水利、水务部门,广东,4,90,120
律师事务所行政处罚信息.csv,法律,司法部门,浙江,3,76,128
乌当区司法局_2019-10-31_08_58_48_2.xlsx,司法,司法部门,贵州,32,76,118
道路运输证_80.csv,道路交通及管理,交通运输部门,浙江,30,102,128
青岛市养生保健指导门诊名录_0.csv,医疗卫生,医院及社区卫生服务机构,山东,0,73,117
放射诊疗许可_20.xls,医疗卫生,卫生健康委员会,广东,0,79,120
1611_45.xls,非公经济,市场监管部门,青海,49,77,145
道路运输证_54.csv,道路交通及管理,交通运输部门,浙江,30,102,128
清镇市民政局机构设置_2020-03-25_11_07_39_3.xls,行政,民政部门,贵州,5,89,118
建设项目选址意见书20191031.xls,建筑业,生态环境及自然资源部门,江苏,1,75,115
非公募基金会成立、变更、注销登记信息_88.xls,社会组织,民政部门,广东,53,89,120
设立演出经纪机构许可信息_46.xls,文化,文化广播电视和旅游部门,广东,28,95,120
设立歌舞娱乐场所娱乐经营许可证信息版权局_1596180828666.xls,娱乐,文化广播电视和旅游部门,广东,26,95,120
基本医疗保险单位参保登记.xls,保险福利,医保部门,湖南,15,98,122
运动员注册信息_1.csv,体育,文体活动机构,浙江,10,94,128
ch06-04_115.xls,财政预算,教育及体育部门,北京,11,86,131
22-78_6.xls,教育事业,教育机构,内蒙古,8,85,141
23-2_253.xls,文化,文化广播电视和旅游部门,海南,28,95,125
ch10-05_112.xls,能源,城市管理行政执法及审批部门,北京,43,81,131
动物防疫条件合格证核发信息_23.xls,医疗卫生,农业农村部门,广东,0,91,120
11-3_25.xls,城市供给,住房城乡建设部门,湖南,16,74,122
枣庄市粮食收购许可证_0.csv,农业生产,粮食和储备部门,山东,40,106,117
5-13_涉企信息_工程竣工验收备案信息_178.xls,建筑业,住房城乡建设部门,广东,1,74,120
动物诊疗许可证核发信息_10.xls,医疗卫生,农业农村部门,广东,0,91,120
机动车补换牌证_0.xls,道路交通及管理,公安部门,山东,30,108,117
推送市交易中心信息－人员锁定_255.xls,行政,水利、水务部门,广东,5,90,120
特种设备作业人员考核_341.xls,特种作业,市场监管部门,广东,63,77,120
乳山市科技局“千帆计划”入库企业信息_0.csv,企业信息,科技部门,山东,4,101,117
建设项目选址意见书信息_49.xls,建筑业,住房城乡建设部门,广东,1,74,120
贵阳经济社会统计月报_2021-10-28_10_47_23_46.xlsx,地方经济,统计部门,贵州,66,107,118
ch22-17_112.xls,司法,司法部门,北京,32,76,131
危险化学品安全生产许可证_60.xls,公共安全,应急部门,广东,37,97,120
乳山市对擅自在文物保护单位的保护范围、建设控制地带内进行建设、作业或迁移、拆除、修缮、重建不可移动文物的信息_0.csv,文化,文体活动机构,山东,28,94,117
1-16_23.xls,非公经济,市场监管部门,湖南,49,77,122
权利清单和责任清单目录.csv,宗教事务,民族宗教部门,江苏,13,87,115
5-13_涉企信息_工程竣工验收备案信息_195.xls,建筑业,住房城乡建设部门,广东,1,74,120
非药品类易制毒化学品备案_3.xls,公共安全,应急部门,广东,37,97,120
C19-04_114.xls,科研机构企业及技术人员,统计部门,北京,42,107,131
